addr_full,brand,city,country,extras,lat,lon,name,phone,ref,postcode,website
Centre commercial les Templiers,But,GISORS,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.276765000000000000,1.759762000000000000,But Gisors,,309,27140,https://www.but.fr/magasins/309/But-Gisors.html
Parc d'activités de La Creule,But,HAZEBROUCK,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.736781000000000000,2.552505000000000000,But Hazebrouck,,310,59190,https://www.but.fr/magasins/310/But-Hazebrouck.html
Rue du pont - Zone Industrielle du pont,But,SABLE SUR SARTHE,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.823925000000000000,-0.303510000000000000,But Sable,,311,72300,https://www.but.fr/magasins/311/But-Sable.html
20 rue des Lauriers,But,ST GEREON,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.372779636500000000,-1.189055442800000000,But Ancenis,,312,44150,https://www.but.fr/magasins/312/But-Ancenis.html
594 Chemin de la Chaumière - Z.I de l'Artel,But,CASTELSARRASIN,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",44.062549744900000000,1.099147796600000000,But Castelsarrasin,,313,82100,https://www.but.fr/magasins/313/But-Castelsarrasin.html
Rue du Chardonnay - PAE de la Vallée de l'Hérault,But,CLERMONT L'HERAULT,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",43.619673500000000000,3.450973000000000000,But Clermont l'Hérault,,314,34800,https://www.but.fr/magasins/314/But-Clermont-l-Herault.html
Rue De Lattre de Tassigny ZI DE LA LIMOISE,But,ISSOUDUN,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",46.954851000000000000,2.005015000000000000,But Issoudun,,315,36100,https://www.but.fr/magasins/315/But-Issoudun.html
Rue des Malifestes - ZAC de Calin,But,CLISSON,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.098949000000000000,-1.279567000000000000,But Clisson,,316,44190,https://www.but.fr/magasins/316/But-Clisson.html
Rue Lavoisier - BP 101,But,EU,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.057607000000000000,1.412899000000000000,But Eu,,317,76260,https://www.but.fr/magasins/317/But-Eu.html
Lotissement Le Grand Tour,But,MARCONNE,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.367146000000000000,2.028884000000000100,But Hesdin Marconne,,318,62140,https://www.but.fr/magasins/318/But-Hesdin-Marconne.html
